Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
12,0,Decrease,0.25,0.1,0.1,1,0.688007864000042
12,1,Equal,0.1,0.1,0.1,1,0.3701821199999813
12,2,Increase,0.1,0.25,0.1,1,0.13327614499996798
12,3,Control,0.0,0.25,0.1,1,0.35750191099998574
12,4,Control,0.0,0.1,0.1,1,0.4807226410000567
12,5,Control,0.0,0.25,0.07943282347242815,1,0.388130689000036
12,6,Equal,0.1,0.1,0.07943282347242815,1,0.4613338980000208
12,7,Equal,0.1,0.1,0.06309573444801932,1,0.3440709879999986
12,8,Increase,0.1,0.25,0.07943282347242815,1,0.2435014750000164
12,9,Control_null,0.0,0.25,0.1,1,0.7755215519999865
12,10,Equal,0.1,0.1,0.05011872336272722,1,0.43469799799993325
12,11,Equal,0.25,0.25,0.1,1,0.24597374400002536
12,12,Equal,0.1,0.1,0.03981071705534971,1,0.3065528680000398
12,13,Control,0.0,0.25,0.06309573444801932,1,0.24636571799999274
12,14,Control,0.0,0.25,0.05011872336272722,1,0.26449745000002167
12,15,Control,0.0,0.1,0.07943282347242815,1,0.1957516160000523
12,16,Increase_null,0.1,0.25,0.1,1,0.4200216739999405
12,17,Decrease,0.25,0.1,0.07943282347242815,1,0.31902712700002667
12,18,Decrease_null,0.25,0.1,0.1,1,0.6022666310000204
12,19,Increase,0.1,0.25,0.06309573444801932,1,0.31538547599996036
12,20,Decrease,0.25,0.1,0.06309573444801932,1,0.4145205290000149
12,21,Control,0.0,0.1,0.06309573444801932,1,0.393848045000027
12,22,Control,0.0,0.1,0.05011872336272722,1,0.3256775069999094
12,23,Equal_null,0.1,0.1,0.1,1,0.481111057000021
12,24,Decrease,0.25,0.1,0.05011872336272722,1,0.292121924000071
12,25,Control,0.0,0.1,0.03981071705534971,1,0.3366271009999764
12,26,Control,0.0,0.25,0.03981071705534971,1,0.28408536099993853
12,27,Increase,0.1,0.25,0.05011872336272722,1,0.19792280199999368
12,28,Increase,0.1,0.25,0.03981071705534971,1,0.4010700870001074
12,29,Equal,0.1,0.1,0.031622776601683784,1,0.3293832469998961
12,30,Control,0.0,0.25,0.031622776601683784,1,0.22837712799992005
12,31,Decrease,0.25,0.1,0.03981071705534971,1,0.24081513099997665
12,32,Decrease,0.25,0.1,0.031622776601683784,1,0.2658891069999072
12,33,Control,0.0,0.25,0.02511886431509579,1,0.26102385900003355
12,34,Decrease,0.25,0.1,0.02511886431509579,1,0.40810817999999927
12,35,Control,0.0,0.25,0.01995262314968879,0,0.27526544700003797
12,36,Equal,0.1,0.1,0.02511886431509579,0,0.6067190439999877
12,37,Control,0.0,0.1,0.031622776601683784,1,0.3546720510000796
12,38,Increase,0.1,0.25,0.031622776601683784,1,0.2703771390000611
12,39,Equal,0.25,0.25,0.07943282347242815,1,0.22625001399990197
12,40,Control,0.0,0.25,0.025118864315095794,1,0.2822651159999623
12,41,Increase_null,0.1,0.25,0.07943282347242815,1,0.45313453000005666
12,42,Equal,0.1,0.1,0.031622776601683784,1,0.38981845499995416
12,43,Equal,0.1,0.1,0.02511886431509579,1,0.3050051849999136
12,44,Decrease,0.25,0.1,0.01995262314968879,0,0.4692021129999375
12,45,Control,0.0,0.1,0.02511886431509579,1,0.23023075399999016
12,46,Control,0.0,0.25,0.01995262314968879,1,0.3215300170001001
12,47,Control,0.0,0.1,0.01995262314968879,0,0.3963826469999958
12,48,Control,0.0,0.1,0.025118864315095794,1,0.33689730399999007
12,49,Control,0.0,0.25,0.015848931924611127,1,0.4202250199999753
12,50,Equal,0.1,0.1,0.01995262314968879,1,0.32703733000005286
12,51,Control,0.0,0.25,0.012589254117941666,1,0.5865940639999963
12,52,Control,0.0,0.25,0.009999999999999995,0,0.2465459169999349
12,53,Decrease,0.25,0.1,0.025118864315095794,1,0.2556385859999182
12,54,Equal,0.1,0.1,0.015848931924611127,1,0.28304942900001606
12,55,Equal,0.25,0.25,0.06309573444801932,1,0.3149803259999544
12,56,Equal,0.25,0.25,0.05011872336272722,1,0.2062468459999991
12,57,Equal,0.25,0.25,0.03981071705534971,1,0.2024544229999492
12,58,Equal,0.25,0.25,0.031622776601683784,1,0.22746268299999883
12,59,Control,0.0,0.1,0.01995262314968879,1,0.3669123079999963
12,60,Control,0.0,0.25,0.012589254117941666,0,0.738159966000012
12,61,Decrease,0.25,0.1,0.01995262314968879,1,0.3012863860000152
12,62,Equal,0.1,0.1,0.012589254117941666,1,0.3700135550000141
12,63,Control,0.0,0.1,0.015848931924611127,1,0.3006174070000043
12,64,Equal,0.1,0.1,0.009999999999999995,0,0.5442412580000564
