Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
26,0,Equal,0.1,0.1,0.1,1,0.6283459690002928
26,1,Increase,0.1,0.25,0.1,1,0.632254546000695
26,2,Control,0.0,0.1,0.1,1,0.25912431700089655
26,3,Equal,0.25,0.25,0.1,1,0.646678654000425
26,4,Equal,0.1,0.1,0.07943282347242815,1,0.3058919760005665
26,5,Equal,0.25,0.25,0.07943282347242815,1,0.5970096420005575
26,6,Control_null,0.0,0.25,0.1,1,0.5534430259995133
26,7,Increase,0.1,0.25,0.07943282347242815,1,0.35087905600084923
26,8,Increase,0.1,0.25,0.06309573444801932,0,0.663623569000265
26,9,Control,0.0,0.25,0.1,1,0.5307830439996906
26,10,Control,0.0,0.25,0.07943282347242815,1,0.48321993200079305
26,11,Control,0.0,0.25,0.06309573444801932,1,0.29397597599927394
26,12,Equal,0.1,0.1,0.06309573444801932,1,0.4714244000006147
26,13,Control,0.0,0.1,0.07943282347242815,1,0.2188074300011067
26,14,Equal_null,0.25,0.25,0.1,1,0.6858133370005817
26,15,Increase,0.1,0.25,0.07943282347242814,1,0.5940753989998484
26,16,Increase_null,0.1,0.25,0.1,1,0.5973718449986336
26,17,Control,0.0,0.25,0.05011872336272722,1,0.46435249500063946
26,18,Control,0.0,0.1,0.06309573444801932,1,0.4835312260001956
26,19,Increase,0.1,0.25,0.06309573444801932,1,0.39962398699935875
26,20,Control,0.0,0.25,0.03981071705534971,1,0.4445850399988558
26,21,Increase,0.1,0.25,0.05011872336272722,1,0.461408148999908
26,22,Increase,0.1,0.25,0.03981071705534971,1,0.49618561699935526
26,23,Equal,0.25,0.25,0.06309573444801932,1,0.31232842600002186
26,24,Equal,0.1,0.1,0.05011872336272722,1,0.18746332500086282
26,25,Decrease,0.25,0.1,0.1,1,0.3725838370010024
26,26,Control,0.0,0.1,0.05011872336272722,1,0.4960592980005458
26,27,Equal,0.25,0.25,0.05011872336272722,1,0.44334731999879295
26,28,Equal,0.1,0.1,0.03981071705534971,1,0.2072945960007928
26,29,Control_null,0.0,0.25,0.07943282347242815,1,0.4826261149992206
26,30,Control,0.0,0.1,0.03981071705534971,1,0.5658972300007008
26,31,Equal_null,0.25,0.25,0.07943282347242815,1,0.6229990160009038
26,32,Equal,0.25,0.25,0.03981071705534971,1,0.2917773289991601
26,33,Control,0.0,0.25,0.031622776601683784,1,0.5755782469987025
26,34,Increase,0.1,0.25,0.031622776601683784,1,0.4796179179993487
26,35,Equal,0.25,0.25,0.031622776601683784,1,0.37073846500061336
26,36,Control,0.0,0.25,0.02511886431509579,1,0.4360778009995556
26,37,Increase,0.1,0.25,0.02511886431509579,1,0.43103878700094356
26,38,Control,0.0,0.25,0.01995262314968879,0,0.5123360439993121
26,39,Increase,0.1,0.25,0.01995262314968879,0,0.5392932159993507
26,40,Control,0.0,0.1,0.031622776601683784,1,0.5185513849992276
26,41,Control,0.0,0.25,0.025118864315095794,0,0.4907944160004263
26,42,Equal,0.1,0.1,0.031622776601683784,1,0.7820962490004604
26,43,Equal,0.25,0.25,0.02511886431509579,1,0.5052317319987196
26,44,Increase,0.1,0.25,0.025118864315095794,1,0.6284323600011703
26,45,Control,0.0,0.25,0.031622776601683784,0,0.6796756339990679
26,46,Increase,0.1,0.25,0.01995262314968879,0,0.5399047920000157
26,47,Control,0.0,0.25,0.03981071705534971,1,0.5570001380001486
26,48,Equal,0.25,0.25,0.01995262314968879,1,0.5920320209988859
26,49,Control_null,0.0,0.25,0.06309573444801932,1,0.5202270190002309
26,50,Equal,0.1,0.1,0.02511886431509579,0,0.4993622960009816
26,51,Control,0.0,0.1,0.02511886431509579,0,0.6696199010002601
26,52,Control_null,0.0,0.25,0.05011872336272722,1,0.6406795309994777
26,53,Equal,0.25,0.25,0.015848931924611127,0,0.4039620180010388
26,54,Equal,0.1,0.1,0.031622776601683784,0,0.5669530239993037
26,55,Decrease,0.25,0.1,0.07943282347242815,1,0.4662284610003553
26,56,Equal,0.1,0.1,0.03981071705534971,1,0.5506566390013177
26,57,Decrease,0.25,0.1,0.06309573444801932,1,0.2987744259989995
26,58,Equal_null,0.1,0.1,0.1,1,0.38226742499864486
26,59,Equal,0.25,0.25,0.01995262314968879,1,0.6011568280009669
26,60,Control_null,0.0,0.1,0.1,1,0.4815703299991583
26,61,Control,0.0,0.25,0.031622776601683784,1,0.4844369539987383
26,62,Control,0.0,0.25,0.02511886431509579,0,0.6444153280008322
26,63,Equal,0.1,0.1,0.031622776601683784,1,0.4479817789997469
26,64,Equal,0.25,0.25,0.015848931924611127,1,0.5382632130003913
26,65,Equal,0.25,0.25,0.012589254117941666,0,0.31706684999880963
26,66,Increase,0.1,0.25,0.025118864315095794,1,0.5853995309989841
26,67,Equal,0.1,0.1,0.02511886431509579,1,0.7966705209983047
26,68,Equal,0.25,0.25,0.015848931924611127,0,0.543888528000025
26,69,Increase,0.1,0.25,0.01995262314968879,0,0.7561578410004586
26,70,Equal,0.1,0.1,0.01995262314968879,0,0.6554880519997823
26,71,Equal,0.25,0.25,0.01995262314968879,0,0.5636476380004751
26,72,Equal_null,0.1,0.1,0.07943282347242815,1,0.5105296460005775
26,73,Equal,0.1,0.1,0.025118864315095794,1,0.7908777960001316
26,74,Equal,0.1,0.1,0.01995262314968879,0,0.1059524499996769
26,75,Equal,0.1,0.1,0.025118864315095794,0,0.38702260100035346
26,76,Equal,0.1,0.1,0.031622776601683784,1,0.4864398239988077
26,77,Decrease,0.25,0.1,0.05011872336272722,1,0.48858446899976116
26,78,Control,0.0,0.1,0.031622776601683784,1,0.4755987609987642
26,79,Control,0.0,0.1,0.02511886431509579,1,0.49495710500013956
26,80,Control,0.0,0.25,0.031622776601683784,1,0.401923387998977
26,81,Control,0.0,0.1,0.01995262314968879,0,0.6558254600004148
26,82,Decrease,0.25,0.1,0.03981071705534971,1,0.33867423300034716
26,83,Equal,0.1,0.1,0.02511886431509579,0,0.5257455370010575
26,84,Control,0.0,0.1,0.025118864315095794,1,0.6255898399995203
26,85,Equal,0.25,0.25,0.025118864315095794,1,0.49419566899996425
26,86,Equal,0.1,0.1,0.031622776601683784,0,0.24608485399949132
26,87,Equal,0.1,0.1,0.03981071705534971,1,0.38521077100085677
26,88,Equal,0.25,0.25,0.01995262314968879,1,0.44944826099890633
26,89,Equal,0.1,0.1,0.031622776601683784,0,0.22779803899902618
26,90,Equal,0.25,0.25,0.015848931924611127,1,0.6150415009997232
26,91,Equal,0.25,0.25,0.012589254117941666,0,0.6180099800003518
26,92,Decrease,0.25,0.1,0.031622776601683784,1,0.6691100040006859
26,93,Decrease,0.25,0.1,0.02511886431509579,0,1.0416445169994404
26,94,Control,0.0,0.25,0.02511886431509579,0,0.48607029500089993
26,95,Decrease_null,0.25,0.1,0.1,1,0.4339546869996411
26,96,Control,0.0,0.1,0.01995262314968879,0,0.8284384409998893
26,97,Equal,0.1,0.1,0.03981071705534971,1,0.3441109779996623
26,98,Control,0.0,0.1,0.025118864315095794,1,0.49139117000049737
26,99,Decrease,0.25,0.1,0.031622776601683784,1,0.5076380400005291
26,100,Equal,0.1,0.1,0.031622776601683784,1,0.566699171999062
26,101,Decrease,0.25,0.1,0.02511886431509579,0,0.4000189499984117
26,102,Increase_null,0.1,0.25,0.07943282347242815,1,0.45119247599905066
26,103,Equal,0.25,0.25,0.015848931924611127,0,0.6213327559999016
26,104,Control,0.0,0.1,0.01995262314968879,0,0.5605487089997041
26,105,Equal,0.1,0.1,0.02511886431509579,1,0.5006759659991076
26,106,Control,0.0,0.1,0.025118864315095794,0,0.6639843810007733
26,107,Control,0.0,0.1,0.031622776601683784,1,0.4444989399999031
26,108,Increase,0.1,0.25,0.025118864315095794,0,0.6088108910007577
26,109,Control,0.0,0.25,0.031622776601683784,1,0.507683525000175
26,110,Decrease,0.25,0.1,0.031622776601683784,1,0.49471127899960265
26,111,Control,0.0,0.1,0.02511886431509579,0,0.6100106379999488
26,112,Control,0.0,0.1,0.031622776601683784,1,0.5215971269990405
26,113,Increase,0.1,0.25,0.031622776601683784,1,0.501092084999982
26,114,Increase,0.1,0.25,0.02511886431509579,0,0.3904541479987529
26,115,Equal,0.1,0.1,0.01995262314968879,0,0.5216194269996777
26,116,Decrease,0.25,0.1,0.02511886431509579,1,0.4676474089992553
26,117,Equal,0.1,0.1,0.025118864315095794,0,0.5519624309999926
26,118,Equal,0.25,0.25,0.01995262314968879,0,0.627441564000037
26,119,Control,0.0,0.1,0.02511886431509579,0,0.5655401900003199
26,120,Equal,0.1,0.1,0.031622776601683784,1,0.4153678980001132
26,121,Equal,0.1,0.1,0.02511886431509579,0,0.40374078300010297
26,122,Decrease,0.25,0.1,0.01995262314968879,0,0.41592351399958716
26,123,Equal_null,0.1,0.1,0.06309573444801932,1,0.5288097129996459
26,124,Control,0.0,0.1,0.031622776601683784,1,0.532037296999988
26,125,Control,0.0,0.1,0.02511886431509579,0,0.1572117800005799
26,126,Increase,0.1,0.25,0.031622776601683784,0,0.23244368099949497
26,127,Increase,0.1,0.25,0.03981071705534971,1,0.345331704000273
26,128,Equal,0.25,0.25,0.025118864315095794,0,0.468582230998436
26,129,Control,0.0,0.1,0.031622776601683784,1,0.4238133849994483
26,130,Decrease_null,0.25,0.1,0.07943282347242815,1,0.35510403199987195
26,131,Decrease,0.25,0.1,0.025118864315095794,0,0.406413323000379
26,132,Control,0.0,0.1,0.02511886431509579,0,0.5134643180008425
26,133,Control,0.0,0.1,0.031622776601683784,1,0.477542018999884
26,134,Decrease_null,0.25,0.1,0.06309573444801932,1,0.5530806360002316
26,135,Equal,0.1,0.1,0.031622776601683784,1,0.4863872169989918
26,136,Control,0.0,0.25,0.02511886431509579,1,0.5502798560009978
26,137,Increase,0.1,0.25,0.031622776601683784,1,0.4103790770004707
26,138,Increase_null,0.1,0.25,0.06309573444801932,1,0.5064499139989493
26,139,Decrease,0.25,0.1,0.031622776601683784,1,0.5567838059996575
26,140,Control,0.0,0.25,0.01995262314968879,1,0.629925875000481
26,141,Control,0.0,0.25,0.015848931924611127,0,0.4982372869999381
26,142,Increase,0.1,0.25,0.02511886431509579,1,0.4842864180009201
26,143,Decrease_null,0.25,0.1,0.05011872336272722,1,0.4726517889994284
26,144,Equal,0.1,0.1,0.02511886431509579,1,0.5395636269986426
26,145,Control,0.0,0.25,0.01995262314968879,1,0.614841141999932
26,146,Equal,0.1,0.1,0.01995262314968879,0,0.4011277030003839
26,147,Increase,0.1,0.25,0.01995262314968879,0,0.9181750309999188
26,148,Control,0.0,0.1,0.02511886431509579,1,0.5218591840002773
26,149,Equal,0.1,0.1,0.025118864315095794,1,0.4982669149994763
26,150,Increase,0.1,0.25,0.025118864315095794,0,0.5254392080005346
26,151,Control_null,0.0,0.1,0.07943282347242815,1,0.6781543460001558
26,152,Increase,0.1,0.25,0.031622776601683784,1,0.6890874209984759
26,153,Equal_null,0.25,0.25,0.06309573444801932,1,0.43528528599927085
26,154,Control,0.0,0.1,0.01995262314968879,0,0.3665506010001991
26,155,Control,0.0,0.25,0.015848931924611127,0,0.5214335010005016
26,156,Equal,0.1,0.1,0.01995262314968879,0,0.3566714160006086
26,157,Increase,0.1,0.25,0.02511886431509579,0,0.5922354829999676
