Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
8,0,Control,0.0,0.1,0.1,1,1.2216468970000278
8,1,Decrease,0.25,0.1,0.1,1,0.866475630999048
8,2,Equal,0.1,0.1,0.1,0,99
8,3,Equal,0.25,0.25,0.1,0,0.35859775400240324
8,4,Increase,0.1,0.25,0.1,0,99
8,5,Increase,0.1,0.25,0.1,1,0.4821412170022086
8,6,Control,0.0,0.25,0.1,1,0.45926307099944097
8,7,Equal,0.25,0.25,0.1,1,0.5103048179989855
8,8,Control,0.0,0.25,0.07943282347242815,1,0.2734334160013532
8,9,Decrease,0.25,0.1,0.07943282347242815,1,0.2765266579990566
8,10,Equal,0.1,0.1,0.1,1,0.6157439429989608
8,11,Decrease_null,0.25,0.1,0.1,1,0.6992769330026931
8,12,Control,0.0,0.1,0.07943282347242815,1,0.3593689909976092
8,13,Increase,0.1,0.25,0.07943282347242815,1,0.5002405049999652
8,14,Equal,0.1,0.1,0.07943282347242815,1,0.5998796519997995
8,15,Equal,0.1,0.1,0.06309573444801932,1,0.6250522209993505
8,16,Control,0.0,0.1,0.06309573444801932,1,0.49181628699807334
8,17,Decrease,0.25,0.1,0.06309573444801932,1,0.26846373899752507
8,18,Control,0.0,0.25,0.06309573444801932,1,0.4003814669995336
8,19,Decrease,0.25,0.1,0.05011872336272722,1,0.5846500219995505
8,20,Control,0.0,0.1,0.05011872336272722,1,0.3636743530005333
8,21,Control,0.0,0.25,0.05011872336272722,1,0.5199521940012346
8,22,Control,0.0,0.1,0.03981071705534971,1,0.45936859599896707
8,23,Control,0.0,0.25,0.03981071705534971,1,0.42251032299827784
8,24,Equal,0.1,0.1,0.05011872336272722,1,0.3937162010006432
8,25,Control,0.0,0.25,0.031622776601683784,1,0.4528189070006192
8,26,Control,0.0,0.1,0.031622776601683784,1,0.40132334499867284
8,27,Control,0.0,0.25,0.02511886431509579,1,0.6448458429986204
