Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
27,0,Control,0.0,0.1,0.1,1,0.4524980019996292
27,1,Equal_null,0.25,0.25,0.1,0,0.9722875070001464
27,2,Control,0.0,0.25,0.1,1,0.2965654239997093
27,3,Decrease,0.25,0.1,0.1,1,0.3842460750020109
27,4,Equal,0.1,0.1,0.1,1,0.3153703889984172
27,5,Equal,0.25,0.25,0.1,1,0.3410160149978765
27,6,Control,0.0,0.25,0.07943282347242815,1,0.5040638219979883
27,7,Control,0.0,0.1,0.07943282347242815,1,0.434840237001481
27,8,Increase,0.1,0.25,0.1,1,0.48636477399850264
27,9,Decrease,0.25,0.1,0.07943282347242815,1,0.71468564099996
27,10,Control,0.0,0.1,0.06309573444801932,1,0.49400530800267006
27,11,Decrease,0.25,0.1,0.06309573444801932,1,0.41722247199868434
27,12,Equal,0.1,0.1,0.07943282347242815,1,0.4138027980006882
27,13,Equal,0.25,0.25,0.07943282347242815,1,0.5294072040014726
27,14,Decrease,0.25,0.1,0.05011872336272722,1,0.18569602299976395
27,15,Decrease,0.25,0.1,0.03981071705534971,1,0.4697310119991016
27,16,Equal_null,0.25,0.25,0.1,0,0.5740607999978238
27,17,Control,0.0,0.1,0.05011872336272722,1,0.561246740999195
27,18,Decrease,0.25,0.1,0.031622776601683784,1,0.5783125310008472
27,19,Equal,0.25,0.25,0.06309573444801932,1,0.5883621350003523
27,20,Decrease_null,0.25,0.1,0.1,1,0.32756797799811466
27,21,Control_null,0.0,0.1,0.1,1,0.6111486390000209
27,22,Control_null,0.0,0.1,0.07943282347242815,1,0.5660765190004895
27,23,Control,0.0,0.1,0.03981071705534971,1,0.36915635500190547
27,24,Decrease,0.25,0.1,0.02511886431509579,1,0.26181102500049747
27,25,Equal,0.1,0.1,0.06309573444801932,1,0.3379620279993105
27,26,Equal,0.1,0.1,0.05011872336272722,1,0.3417971070011845
27,27,Equal,0.25,0.25,0.05011872336272722,1,0.30209135499899276
27,28,Equal,0.1,0.1,0.03981071705534971,1,0.545143088002078
27,29,Increase,0.1,0.25,0.07943282347242815,1,0.3544404319982277
27,30,Equal,0.25,0.25,0.03981071705534971,1,0.4856501130016113
27,31,Control,0.0,0.25,0.06309573444801932,1,0.39857434399891645
27,32,Equal,0.1,0.1,0.031622776601683784,1,0.38485202100127935
27,33,Increase,0.1,0.25,0.06309573444801932,1,0.39618022500144434
27,34,Increase,0.1,0.25,0.05011872336272722,1,0.36712495100073284
27,35,Equal,0.1,0.1,0.02511886431509579,1,0.42638182600057917
27,36,Control,0.0,0.25,0.05011872336272722,1,0.3667975739990652
27,37,Decrease,0.25,0.1,0.01995262314968879,0,0.49819863199809333
27,38,Increase,0.1,0.25,0.03981071705534971,1,0.4849545860015496
27,39,Decrease,0.25,0.1,0.025118864315095794,1,0.5716175839988864
27,40,Control,0.0,0.1,0.031622776601683784,1,0.4353804689999379
27,41,Control,0.0,0.25,0.03981071705534971,1,0.3424975160014583
27,42,Decrease,0.25,0.1,0.01995262314968879,1,0.4306377680004516
27,43,Control,0.0,0.1,0.02511886431509579,1,0.44197641899882
27,44,Decrease,0.25,0.1,0.015848931924611127,1,0.5078615769998578
27,45,Equal,0.1,0.1,0.01995262314968879,1,0.6390848369992455
