Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
9,0,Decrease,0.25,0.1,0.1,1,0.4137935290000314
9,1,Control,0.0,0.25,0.1,1,0.36116628699983266
9,2,Decrease_null,0.25,0.1,0.1,0,0.4123515410001346
9,3,Decrease,0.25,0.1,0.07943282347242815,1,0.44759255100007067
9,4,Equal_null,0.1,0.1,0.1,0,0.5326363899998796
9,5,Increase,0.1,0.25,0.1,1,0.4096671819997937
9,6,Control,0.0,0.1,0.1,1,0.25006488400003946
9,7,Control,0.0,0.1,0.07943282347242815,1,0.3654949110000416
9,8,Equal,0.1,0.1,0.1,1,0.3655499799997415
9,9,Decrease,0.25,0.1,0.06309573444801932,1,0.32841895399997156
9,10,Control,0.0,0.1,0.06309573444801932,1,0.3298084119996929
9,11,Control,0.0,0.1,0.05011872336272722,1,0.3887219480002386
9,12,Control_null,0.0,0.25,0.1,1,0.4961593210000501
9,13,Increase,0.1,0.25,0.07943282347242815,1,0.4594663029993171
9,14,Increase,0.1,0.25,0.06309573444801932,1,0.48661348600035126
9,15,Control,0.0,0.25,0.07943282347242815,1,0.40165576500021416
9,16,Increase_null,0.1,0.25,0.1,1,0.6300149389999206
9,17,Equal,0.25,0.25,0.1,1,0.4173414140004752
9,18,Control_null,0.0,0.25,0.07943282347242815,1,0.35064142500050366
9,19,Control,0.0,0.1,0.03981071705534971,1,0.3824529319999783
9,20,Equal,0.25,0.25,0.07943282347242815,1,0.5308488230002695
9,21,Control,0.0,0.1,0.031622776601683784,1,0.5468270270002904
9,22,Equal,0.1,0.1,0.07943282347242815,1,0.42981324800075527
9,23,Increase,0.1,0.25,0.05011872336272722,1,0.3742607329995735
9,24,Equal,0.25,0.25,0.06309573444801932,1,0.4344035470003291
9,25,Control,0.0,0.1,0.02511886431509579,1,0.4376651140000831
9,26,Control_null,0.0,0.25,0.06309573444801932,0,0.6967492840003615
9,27,Increase,0.1,0.25,0.03981071705534971,1,0.31598195700007636
9,28,Equal,0.1,0.1,0.06309573444801932,1,0.3511040769999454
9,29,Decrease,0.25,0.1,0.05011872336272722,1,0.44234663899987936
9,30,Equal,0.25,0.25,0.05011872336272722,1,0.46302871300031256
9,31,Control,0.0,0.1,0.01995262314968879,0,0.4672535199997583
9,32,Control,0.0,0.25,0.06309573444801932,1,0.3961001509997004
9,33,Decrease,0.25,0.1,0.03981071705534971,1,0.2469390870001007
9,34,Control,0.0,0.1,0.025118864315095794,0,0.2883077710002908
9,35,Equal,0.25,0.25,0.03981071705534971,1,0.2594290009992619
9,36,Control,0.0,0.1,0.031622776601683784,1,0.2917065970004842
9,37,Control,0.0,0.1,0.02511886431509579,1,0.27970607099996414
9,38,Control,0.0,0.1,0.01995262314968879,1,0.4025569479999831
9,39,Equal,0.25,0.25,0.031622776601683784,1,0.39810338899951603
9,40,Equal,0.1,0.1,0.05011872336272722,1,0.48137764199964295
