Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
6,0,Decrease,0.25,0.1,0.1,1,0.7016736000005039
6,1,Equal,0.1,0.1,0.1,1,0.47489427300024545
6,2,Control,0.0,0.25,0.1,1,0.520626565999919
6,3,Decrease,0.25,0.1,0.07943282347242815,1,0.631801504001487
6,4,Increase,0.1,0.25,0.1,1,0.5462947140003962
6,5,Control,0.0,0.25,0.07943282347242815,1,0.6644393160004256
6,6,Decrease,0.25,0.1,0.06309573444801932,1,0.6776950399998896
6,7,Equal_null,0.25,0.25,0.1,1,0.679849103999004
6,8,Equal_null,0.25,0.25,0.07943282347242815,1,0.6209868519999873
6,9,Control,0.0,0.25,0.06309573444801932,1,0.5041184759993484
6,10,Increase,0.1,0.25,0.07943282347242815,1,0.7894866469996487
6,11,Control_null,0.0,0.25,0.1,1,0.658409773999665
6,12,Increase,0.1,0.25,0.06309573444801932,1,0.831770533000963
6,13,Increase,0.1,0.25,0.05011872336272722,1,0.7650420249992749
6,14,Equal_null,0.25,0.25,0.06309573444801932,1,0.6743709830006992
6,15,Equal,0.25,0.25,0.1,1,0.7690287160003209
6,16,Increase,0.1,0.25,0.03981071705534971,1,0.9907205760009674
6,17,Equal,0.25,0.25,0.07943282347242815,1,0.7091272340003343
6,18,Increase_null,0.1,0.25,0.1,1,0.6639478110009804
6,19,Control,0.0,0.25,0.05011872336272722,1,0.9411534400005621
6,20,Decrease,0.25,0.1,0.05011872336272722,1,0.904349562999414
6,21,Decrease,0.25,0.1,0.03981071705534971,1,0.8533437000005506
6,22,Increase_null,0.1,0.25,0.07943282347242815,1,0.6156655009999668
6,23,Equal,0.1,0.1,0.07943282347242815,1,0.6206837250010722
6,24,Control,0.0,0.25,0.03981071705534971,1,0.6669995920001384
6,25,Equal,0.1,0.1,0.06309573444801932,1,0.6082101070005592
6,26,Increase,0.1,0.25,0.031622776601683784,1,0.8612396089993126
6,27,Increase,0.1,0.25,0.02511886431509579,1,0.7865927519997058
6,28,Control,0.0,0.25,0.031622776601683784,1,0.7757402989991533
6,29,Increase,0.1,0.25,0.01995262314968879,1,0.6775193600005878
6,30,Control,0.0,0.1,0.1,1,0.6207258729991736
6,31,Control,0.0,0.25,0.02511886431509579,1,0.6234310870004265
