Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
21,0,Equal,0.25,0.25,0.1,1,0.7003282100013166
21,1,Increase,0.1,0.25,0.1,1,0.6714521260000765
21,2,Equal,0.1,0.1,0.1,1,0.502160907999496
21,3,Control,0.0,0.25,0.1,1,0.4308237770019332
21,4,Equal_null,0.1,0.1,0.1,1,0.47396197600028245
21,5,Equal,0.1,0.1,0.07943282347242815,1,0.5471513789998426
21,6,Equal,0.25,0.25,0.07943282347242815,1,0.44643449100112775
21,7,Control,0.0,0.25,0.07943282347242815,1,0.4068213629980164
21,8,Control,0.0,0.25,0.06309573444801932,1,0.47391371600315324
21,9,Control,0.0,0.25,0.05011872336272722,1,0.49977424100143253
21,10,Increase,0.1,0.25,0.07943282347242815,1,0.4388156219974917
21,11,Control,0.0,0.25,0.03981071705534971,1,0.5942814609989
21,12,Control,0.0,0.1,0.1,1,0.5255979050016322
21,13,Control_null,0.0,0.1,0.1,1,0.48976584800038836
21,14,Equal,0.25,0.25,0.06309573444801932,1,0.47014371899786056
21,15,Decrease,0.25,0.1,0.1,0,0.5386139799993543
21,16,Control,0.0,0.1,0.07943282347242815,1,0.5790022420005698
21,17,Control,0.0,0.1,0.06309573444801932,1,0.47029996999845025
21,18,Control_null,0.0,0.1,0.07943282347242815,1,0.4785144150009728
21,19,Equal,0.1,0.1,0.06309573444801932,1,0.5948645790012961
21,20,Equal,0.25,0.25,0.05011872336272722,1,0.6430909490009071
21,21,Equal,0.1,0.1,0.05011872336272722,1,0.4942742610001005
21,22,Equal,0.1,0.1,0.03981071705534971,1,0.5762500729979365
21,23,Increase,0.1,0.25,0.06309573444801932,1,0.5166011239998625
21,24,Increase,0.1,0.25,0.05011872336272722,1,0.4237387659995875
21,25,Control,0.0,0.1,0.05011872336272722,1,0.5868929080024827
21,26,Equal,0.1,0.1,0.031622776601683784,1,0.703117804001522
21,27,Decrease,0.25,0.1,0.1,1,0.5326416770003561
21,28,Increase,0.1,0.25,0.03981071705534971,1,0.5370361729983415
21,29,Increase,0.1,0.25,0.031622776601683784,1,0.48141234499780694
21,30,Equal,0.1,0.1,0.02511886431509579,1,0.5649996079991979
21,31,Equal,0.25,0.25,0.03981071705534971,1,0.5099987829999009
21,32,Control,0.0,0.1,0.03981071705534971,1,0.5530581880011596
21,33,Equal,0.1,0.1,0.01995262314968879,1,0.5694783449980605
21,34,Control_null,0.0,0.25,0.1,1,0.5486028300001635
