Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
17,0,Increase,0.1,0.25,0.1,1,0.7687091540001347
17,1,Equal,0.25,0.25,0.1,1,0.5242655189999823
17,2,Equal,0.25,0.25,0.07943282347242815,1,0.5191652419998718
17,3,Control_null,0.0,0.25,0.1,1,0.7554955129999144
17,4,Increase,0.1,0.25,0.07943282347242815,1,0.4476055919999453
17,5,Equal,0.1,0.1,0.1,1,0.4256665619996056
17,6,Increase,0.1,0.25,0.06309573444801932,1,0.42895755299969096
17,7,Equal,0.1,0.1,0.07943282347242815,1,0.36453742999992755
17,8,Equal,0.25,0.25,0.06309573444801932,1,0.3842402119998951
17,9,Equal,0.25,0.25,0.05011872336272722,1,0.4335353510000459
17,10,Increase,0.1,0.25,0.05011872336272722,1,0.4686730319999697
17,11,Decrease,0.25,0.1,0.1,1,0.41483829600019817
17,12,Control_null,0.0,0.1,0.1,1,0.45777894200000446
17,13,Equal,0.25,0.25,0.03981071705534971,1,0.39736711900059163
17,14,Increase,0.1,0.25,0.03981071705534971,1,0.48024625399921206
17,15,Equal_null,0.25,0.25,0.1,1,0.4673276100002113
17,16,Equal,0.25,0.25,0.031622776601683784,1,0.4414739819994793
17,17,Increase,0.1,0.25,0.031622776601683784,1,0.3170555560000139
17,18,Equal,0.25,0.25,0.02511886431509579,1,0.4461405840002044
17,19,Increase,0.1,0.25,0.02511886431509579,0,0.3854203159999088
17,20,Equal,0.25,0.25,0.01995262314968879,1,0.4414317189994108
17,21,Control,0.0,0.25,0.1,1,0.4838374759992803
17,22,Equal,0.1,0.1,0.06309573444801932,1,0.5806499989994336
17,23,Equal,0.25,0.25,0.015848931924611127,0,0.6560210629995709
17,24,Decrease,0.25,0.1,0.07943282347242815,1,0.38602748699941003
17,25,Control,0.0,0.1,0.1,1,0.438551598000231
17,26,Control,0.0,0.1,0.07943282347242815,1,0.2895024650006235
17,27,Increase,0.1,0.25,0.031622776601683784,1,0.4127869180001653
17,28,Control,0.0,0.25,0.07943282347242815,1,0.43324436100010644
17,29,Equal,0.25,0.25,0.01995262314968879,1,0.44554992799930915
17,30,Equal_null,0.1,0.1,0.1,1,0.48294685400014714
17,31,Equal,0.1,0.1,0.05011872336272722,1,0.4344193159995484
17,32,Decrease,0.25,0.1,0.06309573444801932,1,0.47862807100045757
17,33,Control,0.0,0.1,0.06309573444801932,1,0.566973672000131
17,34,Control,0.0,0.25,0.06309573444801932,1,0.4902779220001321
17,35,Equal,0.1,0.1,0.03981071705534971,0,0.5941757689997758
17,36,Equal,0.25,0.25,0.015848931924611127,0,0.5506494429992017
17,37,Control,0.0,0.25,0.05011872336272722,1,0.44852406500012876
17,38,Control_null,0.0,0.1,0.07943282347242815,1,0.41996618899975147
17,39,Increase,0.1,0.25,0.02511886431509579,1,0.7032359970007747
17,40,Decrease,0.25,0.1,0.05011872336272722,1,0.514177942999595
17,41,Increase,0.1,0.25,0.01995262314968879,1,0.7439251280002281
17,42,Equal,0.25,0.25,0.01995262314968879,0,0.5559627190004903
17,43,Equal,0.25,0.25,0.025118864315095794,0,0.5212052820006647
17,44,Decrease_null,0.25,0.1,0.1,1,0.5849218250004924
17,45,Control,0.0,0.1,0.05011872336272722,1,0.4770209110001815
17,46,Increase,0.1,0.25,0.015848931924611127,0,0.8617469689997961
17,47,Control,0.0,0.1,0.03981071705534971,1,0.4885499110005185
17,48,Control,0.0,0.25,0.03981071705534971,1,0.4726170789999742
17,49,Control,0.0,0.25,0.031622776601683784,1,0.5799824710002213
17,50,Equal_null,0.25,0.25,0.07943282347242815,1,0.6071362479997333
17,51,Control,0.0,0.1,0.031622776601683784,1,0.4981834780001009
17,52,Equal,0.25,0.25,0.031622776601683784,1,0.4305925560001924
17,53,Control,0.0,0.25,0.02511886431509579,1,0.5856290620004074
17,54,Increase,0.1,0.25,0.01995262314968879,0,0.6384970280005291
17,55,Control,0.0,0.1,0.02511886431509579,1,0.7862189089992171
17,56,Decrease,0.25,0.1,0.03981071705534971,1,0.49566553799922985
17,57,Decrease,0.25,0.1,0.031622776601683784,1,0.44024523999996745
17,58,Equal,0.25,0.25,0.02511886431509579,1,0.595562880000216
17,59,Control,0.0,0.1,0.01995262314968879,0,0.13187672599997313
17,60,Decrease,0.25,0.1,0.02511886431509579,1,0.5098121640003228
17,61,Control,0.0,0.25,0.01995262314968879,0,0.5033116409995273
17,62,Increase,0.1,0.25,0.025118864315095794,1,0.5293311980003637
17,63,Control,0.0,0.25,0.025118864315095794,0,0.7244373090006775
17,64,Equal,0.25,0.25,0.01995262314968879,1,0.6558570780007358
17,65,Equal,0.1,0.1,0.05011872336272721,1,0.5079623630008427
17,66,Decrease,0.25,0.1,0.01995262314968879,0,0.5192058299999189
17,67,Increase,0.1,0.25,0.01995262314968879,0,0.6035176739997041
17,68,Control,0.0,0.25,0.031622776601683784,1,0.5196702469993397
17,69,Increase,0.1,0.25,0.025118864315095794,0,0.205250552000507
17,70,Control,0.0,0.25,0.02511886431509579,1,0.5898838920002163
17,71,Control,0.0,0.25,0.01995262314968879,0,0.47977547200025583
17,72,Control,0.0,0.25,0.025118864315095794,0,0.5291252420001911
