Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
11,0,Increase,0.1,0.25,0.1,1,0.8091745070000798
11,1,Control,0.0,0.25,0.1,1,0.7150657540000793
11,2,Equal,0.1,0.1,0.1,1,0.9345586100000673
11,3,Control,0.0,0.25,0.07943282347242815,1,1.010894017000055
11,4,Control,0.0,0.1,0.1,1,0.7259952060001069
11,5,Control,0.0,0.1,0.07943282347242815,1,0.6970405590000155
11,6,Decrease,0.25,0.1,0.1,1,0.733754695000016
11,7,Equal,0.1,0.1,0.07943282347242815,1,0.7310279360001459
11,8,Equal,0.1,0.1,0.06309573444801932,1,0.5326992729999347
11,9,Decrease,0.25,0.1,0.07943282347242815,1,0.42413796000005277
11,10,Decrease,0.25,0.1,0.06309573444801932,1,0.744150234000017
11,11,Equal,0.1,0.1,0.05011872336272722,1,0.7151808080000137
11,12,Equal,0.1,0.1,0.03981071705534971,1,0.5404290369999671
11,13,Equal_null,0.25,0.25,0.1,1,0.9674818710000181
11,14,Increase,0.1,0.25,0.07943282347242815,1,0.6027571580000313
11,15,Increase_null,0.1,0.25,0.1,1,0.614023300999861
11,16,Decrease,0.25,0.1,0.05011872336272722,1,0.6173273619999691
11,17,Equal,0.1,0.1,0.031622776601683784,1,0.6764900660000421
11,18,Increase,0.1,0.25,0.06309573444801932,1,0.551422816000013
11,19,Control,0.0,0.1,0.06309573444801932,1,0.6452607119999811
11,20,Decrease,0.25,0.1,0.03981071705534971,1,0.6733522649999486
11,21,Decrease,0.25,0.1,0.031622776601683784,1,0.6338239199999407
11,22,Control,0.0,0.25,0.06309573444801932,1,0.4374401229999876
11,23,Control,0.0,0.1,0.05011872336272722,1,0.4784819620001599
11,24,Equal,0.1,0.1,0.02511886431509579,1,0.4256861259998459
11,25,Equal,0.25,0.25,0.1,1,0.4740986189999603
11,26,Increase,0.1,0.25,0.05011872336272722,1,0.5410142339999311
11,27,Control,0.0,0.1,0.03981071705534971,1,0.4558640039999773
11,28,Increase_null,0.1,0.25,0.07943282347242815,1,0.5474795860000086
