Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
7,0,Equal,0.1,0.1,0.1,1,0.5846536219996779
7,1,Control,0.0,0.25,0.1,1,0.2657149409988051
7,2,Control,0.0,0.25,0.07943282347242815,1,0.5492365070003871
7,3,Decrease,0.25,0.1,0.1,1,0.28552323499934573
7,4,Control,0.0,0.25,0.06309573444801932,1,0.5203732080008194
7,5,Increase,0.1,0.25,0.1,1,0.18554468200090923
7,6,Control,0.0,0.25,0.05011872336272722,1,0.5406430140010343
7,7,Increase,0.1,0.25,0.07943282347242815,1,0.2727889159996266
7,8,Control,0.0,0.25,0.03981071705534971,1,0.5081122280007548
7,9,Increase,0.1,0.25,0.06309573444801932,1,0.46471243199994205
7,10,Decrease,0.25,0.1,0.07943282347242815,1,0.4595721820005565
7,11,Increase,0.1,0.25,0.05011872336272722,1,0.6004376799992315
7,12,Increase,0.1,0.25,0.03981071705534971,1,0.466962988000887
7,13,Control,0.0,0.25,0.031622776601683784,1,0.6538833399990835
7,14,Increase,0.1,0.25,0.031622776601683784,1,0.16618912800004182
7,15,Decrease_null,0.25,0.1,0.1,1,0.7293849260004208
7,16,Increase,0.1,0.25,0.02511886431509579,1,0.7305727370003297
7,17,Decrease,0.25,0.1,0.06309573444801932,1,0.54864225700112
7,18,Equal,0.1,0.1,0.07943282347242815,1,0.7266432920005172
7,19,Equal,0.25,0.25,0.1,1,0.4751613650005311
7,20,Decrease,0.25,0.1,0.05011872336272722,1,0.46243056999992405
7,21,Decrease,0.25,0.1,0.03981071705534971,1,0.4174803579990112
7,22,Control,0.0,0.25,0.02511886431509579,1,0.7247389290005231
7,23,Control,0.0,0.25,0.01995262314968879,1,0.689829886001462
7,24,Decrease,0.25,0.1,0.031622776601683784,1,0.6238562660000753
7,25,Control,0.0,0.1,0.1,1,0.7443602919993282
7,26,Increase,0.1,0.25,0.01995262314968879,1,0.23530728399964573
7,27,Decrease,0.25,0.1,0.02511886431509579,1,0.4278738400007569
7,28,Equal,0.25,0.25,0.07943282347242815,1,0.5438543330001266
7,29,Control,0.0,0.1,0.07943282347242815,1,0.42403288000059547
7,30,Equal,0.1,0.1,0.06309573444801932,1,0.923048832000859
7,31,Control,0.0,0.25,0.015848931924611127,1,0.5023921909996716
7,32,Equal,0.1,0.1,0.05011872336272722,1,0.5115524789998744
7,33,Equal,0.25,0.25,0.06309573444801932,1,0.40273872499892605
7,34,Equal,0.25,0.25,0.05011872336272722,1,0.39908112000011897
7,35,Equal,0.25,0.25,0.03981071705534971,1,0.4041313210000226
7,36,Control_null,0.0,0.1,0.1,1,0.9353138639999088
7,37,Control,0.0,0.25,0.012589254117941666,0,0.8365343160003249
7,38,Control,0.0,0.1,0.06309573444801932,1,0.5737321630003862
7,39,Control_null,0.0,0.1,0.07943282347242815,0,0.6647759829993447
7,40,Control,0.0,0.25,0.015848931924611127,1,0.7691020959991874
7,41,Increase,0.1,0.25,0.015848931924611127,1,0.7002509630001441
7,42,Decrease,0.25,0.1,0.01995262314968879,1,0.6293236429992248
7,43,Equal,0.1,0.1,0.03981071705534971,1,0.45593425300103263
7,44,Control,0.0,0.1,0.05011872336272722,1,0.4279001619997871
7,45,Control_null,0.0,0.1,0.1,1,1.1109657599990896
7,46,Control,0.0,0.25,0.012589254117941666,0,0.6890892240007815
7,47,Control,0.0,0.1,0.03981071705534971,1,0.4844012740013568
7,48,Control,0.0,0.25,0.015848931924611127,1,0.6885675840003387
7,49,Equal_null,0.25,0.25,0.1,1,0.5176565510009823
7,50,Equal,0.1,0.1,0.031622776601683784,1,0.4508941349995439
7,51,Equal,0.1,0.1,0.02511886431509579,1,0.4751044049990014
7,52,Control,0.0,0.1,0.031622776601683784,1,0.4380756270002166
7,53,Increase,0.1,0.25,0.012589254117941666,0,0.6314517020000494
7,54,Control,0.0,0.25,0.012589254117941666,1,0.6337564260011277
7,55,Decrease,0.25,0.1,0.015848931924611127,0,0.6748218709999492
7,56,Increase,0.1,0.25,0.015848931924611127,0,0.7500801610003691
7,57,Increase,0.1,0.25,0.01995262314968879,1,0.6081757939991803
7,58,Increase_null,0.1,0.25,0.1,1,0.5794258050009375
7,59,Equal,0.25,0.25,0.031622776601683784,1,0.4785730309995415
7,60,Decrease,0.25,0.1,0.01995262314968879,1,0.4256445299997722
7,61,Decrease,0.25,0.1,0.015848931924611127,1,0.6308622720007406
7,62,Equal,0.1,0.1,0.01995262314968879,1,1.018568501000118
7,63,Equal,0.1,0.1,0.015848931924611127,0,0.46940111399999296
7,64,Equal,0.25,0.25,0.02511886431509579,1,0.5205278459998226
7,65,Control,0.0,0.25,0.009999999999999995,0,0.6676992769989738
7,66,Equal,0.25,0.25,0.01995262314968879,1,0.5397877119994519
7,67,Decrease,0.25,0.1,0.012589254117941666,1,0.7520094880001125
7,68,Equal,0.25,0.25,0.015848931924611127,0,0.6081343019995984
7,69,Equal,0.25,0.25,0.01995262314968879,0,1.027334325000993
7,70,Decrease,0.25,0.1,0.009999999999999995,0,0.7983429220003018
7,71,Decrease,0.25,0.1,0.012589254117941666,0,0.5458794130008755
7,72,Control,0.0,0.25,0.012589254117941666,0,0.4687372129992582
7,73,Decrease,0.25,0.1,0.015848931924611127,0,0.7040773160006211
7,74,Control,0.0,0.25,0.015848931924611127,0,0.9247277369995572
7,75,Equal,0.1,0.1,0.01995262314968879,0,0.666180379999787
7,76,Control,0.0,0.1,0.02511886431509579,1,0.6382136950014683
7,77,Equal,0.1,0.1,0.025118864315095794,1,0.6078010860001086
7,78,Decrease,0.25,0.1,0.01995262314968879,1,0.5071899810009199
7,79,Equal,0.25,0.25,0.025118864315095794,0,0.9233725880003476
7,80,Control,0.0,0.25,0.01995262314968879,1,1.0942300919996342
7,81,Increase_null,0.1,0.25,0.07943282347242815,1,0.5917795440000191
7,82,Control,0.0,0.1,0.01995262314968879,1,0.7229296739988058
7,83,Control,0.0,0.1,0.015848931924611127,0,1.150164026999846
7,84,Decrease,0.25,0.1,0.015848931924611127,0,0.5771203309996054
7,85,Increase,0.1,0.25,0.015848931924611127,0,0.9000038119993405
7,86,Equal,0.25,0.25,0.031622776601683784,1,0.4874850720007089
7,87,Increase,0.1,0.25,0.01995262314968879,1,0.4594653210006072
7,88,Equal,0.25,0.25,0.02511886431509579,1,0.37704611200024374
7,89,Increase,0.1,0.25,0.015848931924611127,1,0.4696453759988799
7,90,Control_null,0.0,0.25,0.1,1,0.716335221000918
7,91,Equal,0.25,0.25,0.01995262314968879,1,0.5514038080000319
7,92,Increase,0.1,0.25,0.012589254117941666,0,0.7358307620015694
7,93,Equal,0.1,0.1,0.01995262314968879,0,0.6508397010002227
7,94,Decrease,0.25,0.1,0.01995262314968879,1,0.4761014369996701
