Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
23,0,Decrease,0.25,0.1,0.1,1,0.9879337239999586
23,1,Increase,0.1,0.25,0.1,1,0.8963077089993021
23,2,Decrease,0.25,0.1,0.07943282347242815,1,0.8330567780003548
23,3,Control,0.0,0.1,0.1,1,0.7241601529995023
23,4,Control,0.0,0.1,0.07943282347242815,1,0.6845400239999435
23,5,Equal,0.25,0.25,0.1,1,0.5756830910004282
23,6,Control,0.0,0.25,0.1,1,0.35292504500012
23,7,Control,0.0,0.25,0.07943282347242815,1,0.35607801500009373
23,8,Decrease,0.25,0.1,0.06309573444801932,1,0.35112690799996926
23,9,Increase,0.1,0.25,0.07943282347242815,1,0.34738857299998926
23,10,Control,0.0,0.1,0.06309573444801932,1,0.5906371499995657
23,11,Equal,0.1,0.1,0.1,1,0.5936403010000504
23,12,Control,0.0,0.25,0.06309573444801932,1,0.5890053729999636
23,13,Equal,0.25,0.25,0.07943282347242815,1,0.6265687320001234
23,14,Decrease,0.25,0.1,0.05011872336272722,1,0.39033667799958494
23,15,Equal,0.1,0.1,0.07943282347242815,1,0.43846788899918465
23,16,Increase,0.1,0.25,0.06309573444801932,1,0.4335108499999478
23,17,Control,0.0,0.1,0.05011872336272722,1,0.47489699899961124
23,18,Control,0.0,0.1,0.03981071705534971,1,0.20615546600038215
23,19,Control,0.0,0.25,0.05011872336272722,1,0.5752769239998088
23,20,Increase,0.1,0.25,0.05011872336272722,1,0.2825284179998562
23,21,Decrease,0.25,0.1,0.03981071705534971,1,0.23716090899961273
23,22,Increase_null,0.1,0.25,0.1,0,0.4008387579997361
23,23,Control,0.0,0.1,0.031622776601683784,1,0.3961033530003988
23,24,Control_null,0.0,0.25,0.1,1,0.7350202710003941
23,25,Equal,0.1,0.1,0.06309573444801932,1,0.5941016940005284
23,26,Decrease,0.25,0.1,0.031622776601683784,1,0.5206807039994601
23,27,Equal,0.25,0.25,0.06309573444801932,1,0.43722279900066496
23,28,Control,0.0,0.1,0.02511886431509579,1,0.46878478700000414
23,29,Equal,0.1,0.1,0.05011872336272722,1,0.25695541099958064
23,30,Control_null,0.0,0.1,0.1,0,0.559838801999831
23,31,Control,0.0,0.25,0.03981071705534971,1,0.4752681740001208
23,32,Control_null,0.0,0.25,0.07943282347242815,1,0.5723856929998874
23,33,Increase,0.1,0.25,0.03981071705534971,1,0.31171929700030887
23,34,Equal,0.1,0.1,0.03981071705534971,1,0.4521073220003018
23,35,Control,0.0,0.1,0.01995262314968879,1,0.4389798909996898
23,36,Control,0.0,0.25,0.031622776601683784,1,0.3780279459997473
23,37,Equal,0.25,0.25,0.05011872336272722,1,0.4465881000005538
23,38,Control,0.0,0.25,0.02511886431509579,1,0.44057181399966794
23,39,Equal,0.25,0.25,0.03981071705534971,1,0.4631485400004749
23,40,Increase,0.1,0.25,0.031622776601683784,1,0.38781850899977144
23,41,Equal,0.25,0.25,0.031622776601683784,1,0.31510573099967587
23,42,Increase_null,0.1,0.25,0.1,1,0.9585554719997162
23,43,Equal,0.1,0.1,0.031622776601683784,1,0.41572021399952064
23,44,Equal,0.1,0.1,0.02511886431509579,1,0.49079519800034177
23,45,Increase,0.1,0.25,0.02511886431509579,1,0.3960089780002818
23,46,Equal,0.1,0.1,0.01995262314968879,1,0.46319614500043826
