Participant_Number,Trial_Number,Condition,FC_distal,FC_proximal,Target_Contrast,Correct_Response,Reaction_Time
22,0,Control,0.0,0.25,0.1,1,0.6742329389999213
22,1,Decrease,0.25,0.1,0.1,1,0.5413823430026241
22,2,Decrease,0.25,0.1,0.07943282347242815,1,0.28850699399845325
22,3,Decrease,0.25,0.1,0.06309573444801932,1,0.5487096550023125
22,4,Decrease,0.25,0.1,0.05011872336272722,1,0.5623508070020762
22,5,Equal,0.1,0.1,0.1,1,0.467116783001984
22,6,Equal_null,0.1,0.1,0.1,1,0.5338224330007506
22,7,Decrease,0.25,0.1,0.03981071705534971,1,0.5275496159993054
22,8,Control,0.0,0.1,0.1,1,0.5705462269979762
22,9,Control,0.0,0.1,0.07943282347242815,1,0.5384906760009471
22,10,Increase,0.1,0.25,0.1,1,0.5500425860009273
22,11,Increase,0.1,0.25,0.07943282347242815,1,0.4812345189966436
22,12,Equal,0.1,0.1,0.07943282347242815,1,0.5324717139992572
22,13,Increase,0.1,0.25,0.06309573444801932,1,0.575346763998823
22,14,Increase,0.1,0.25,0.05011872336272722,1,0.45035162799831596
22,15,Control,0.0,0.25,0.07943282347242815,1,0.5337338290009939
22,16,Equal,0.1,0.1,0.06309573444801932,1,0.6101861320021271
22,17,Control_null,0.0,0.25,0.1,1,0.600213153000368
22,18,Control_null,0.0,0.25,0.07943282347242815,1,0.6644630289993074
22,19,Equal,0.1,0.1,0.05011872336272722,1,0.5315640929984511
22,20,Decrease,0.25,0.1,0.031622776601683784,1,0.6677849869993224
22,21,Equal,0.1,0.1,0.03981071705534971,1,0.543886334002309
22,22,Decrease_null,0.25,0.1,0.1,1,0.5923473789989657
22,23,Increase,0.1,0.25,0.03981071705534971,1,0.5555426529972465
22,24,Control,0.0,0.25,0.06309573444801932,1,0.541705035000632
22,25,Control,0.0,0.1,0.06309573444801932,1,0.5697970369983523
22,26,Equal,0.1,0.1,0.031622776601683784,1,0.6451908099988941
22,27,Control,0.0,0.1,0.05011872336272722,1,0.4721563929997501
22,28,Increase,0.1,0.25,0.031622776601683784,1,0.5313543459997163
22,29,Control,0.0,0.1,0.03981071705534971,1,0.45680594299847144
22,30,Increase,0.1,0.25,0.02511886431509579,1,0.5091634669988707
22,31,Equal,0.25,0.25,0.1,1,0.5255580070006545
22,32,Control,0.0,0.1,0.031622776601683784,1,0.3128341410010762
22,33,Control_null,0.0,0.1,0.1,1,0.4260398670012364
22,34,Control,0.0,0.25,0.05011872336272722,1,0.46934904800218646
22,35,Control,0.0,0.1,0.02511886431509579,1,0.4935445160008385
22,36,Decrease,0.25,0.1,0.02511886431509579,1,0.4887054970022291
22,37,Control_null,0.0,0.25,0.06309573444801932,1,0.5960991720021411
22,38,Increase,0.1,0.25,0.01995262314968879,1,0.45524540200131014
22,39,Decrease,0.25,0.1,0.01995262314968879,0,0.5683561020014167
22,40,Control,0.0,0.1,0.01995262314968879,1,0.507502338001359
22,41,Equal,0.1,0.1,0.02511886431509579,1,0.4396990540008119
22,42,Equal,0.1,0.1,0.01995262314968879,0,0.4832737200013071
22,43,Equal,0.25,0.25,0.07943282347242815,1,0.5045862110018788
22,44,Control,0.0,0.25,0.03981071705534971,0,0.4332349319993227
22,45,Increase,0.1,0.25,0.015848931924611127,1,0.5961988449998898
22,46,Equal,0.25,0.25,0.06309573444801932,1,0.5807069199981925
22,47,Decrease,0.25,0.1,0.025118864315095794,1,0.488798862999829
22,48,Equal,0.25,0.25,0.05011872336272722,1,0.4890984439989552
22,49,Increase,0.1,0.25,0.012589254117941666,0,0.6683544539991999
22,50,Increase,0.1,0.25,0.015848931924611127,1,0.5434830320009496
22,51,Decrease,0.25,0.1,0.01995262314968879,0,0.5305260889981582
22,52,Control,0.0,0.25,0.05011872336272721,1,0.40555323399894405
22,53,Control,0.0,0.25,0.03981071705534971,1,0.4658886249999341
22,54,Equal_null,0.25,0.25,0.1,1,0.5091795439984708
22,55,Control,0.0,0.1,0.015848931924611127,1,0.4981439490002231
22,56,Decrease,0.25,0.1,0.025118864315095794,1,0.5099328120013524
22,57,Decrease,0.25,0.1,0.01995262314968879,1,0.34275162300036754
22,58,Equal,0.25,0.25,0.03981071705534971,1,0.36278717199820676
22,59,Increase_null,0.1,0.25,0.1,1,0.5632194879981398
22,60,Equal,0.1,0.1,0.025118864315095794,1,0.35841877999700955
22,61,Equal,0.1,0.1,0.01995262314968879,1,0.4464556619968789
22,62,Control,0.0,0.25,0.031622776601683784,1,0.5055636180004512
22,63,Decrease,0.25,0.1,0.015848931924611127,1,0.445949010001641
22,64,Decrease,0.25,0.1,0.012589254117941666,0,0.44122134799908963
22,65,Equal,0.25,0.25,0.031622776601683784,1,0.26016213999901083
22,66,Decrease,0.25,0.1,0.015848931924611127,1,0.45539874200039776
22,67,Control,0.0,0.1,0.012589254117941666,0,0.47460808100004215
22,68,Increase,0.1,0.25,0.012589254117941666,0,0.4395711390025099
